GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,10,192,3,17,2,35,3,10,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,284,0,11,0,78,0,13,0,7,0
parking-system,com.parkit.parkingsystem.service,InteractiveShell,73,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,44,21,8,0,13,8,10,4,6,4
parking-system,com.parkit.parkingsystem.model,Ticket,14,38,0,0,6,16,4,11,4,11
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,54,0,4,0,17,0,6,0,4,0
parking-system,com.parkit.parkingsystem.dao,TicketDAO,213,49,5,1,54,15,6,3,3,3
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,107,121,6,4,29,31,6,6,2,5
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,45,3,3,6,20,3,6,0,6
